2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job b662659f16c541a3 (status=processing, age=63959s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b662659f16c541a3.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job 242f514497364054 (status=processing, age=63238s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\242f514497364054.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job 2a91dc9b4fda477b (status=processing, age=63238s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\2a91dc9b4fda477b.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job 92f67a072dd14006 (status=processing, age=62596s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\92f67a072dd14006.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job 18e7088c15974c04 (status=processing, age=62526s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\18e7088c15974c04.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job f8ed0b9c0cdd43d1 (status=processing, age=61747s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\f8ed0b9c0cdd43d1.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job eb9cc6dfbe8848cb (status=processing, age=4270s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\eb9cc6dfbe8848cb.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job 14445ca37d06484a (status=processing, age=1775s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\14445ca37d06484a.mov)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:118 | Export store: no stale jobs.
2026-06-10 13:36:30 | INFO     | backend.main | main.py:121 | Startup recovery scan complete.
2026-06-10 13:37:49 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 13:37:49 | WARNING  | backend.main | main.py:89 | Found 11 stale analysis job(s) — they can be resumed via checkpoint. Use POST /recovery/analyze/{video_id} to recover.
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job b68aa3abc17a4082 (status=processing, age=64205s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b68aa3abc17a4082.mp4)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job 707ffbe6155e4807 (status=processing, age=64205s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\707ffbe6155e4807.mp4)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job ba2831d773174578 (status=processing, age=64107s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\ba2831d773174578.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job b662659f16c541a3 (status=processing, age=64038s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b662659f16c541a3.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job 242f514497364054 (status=processing, age=63317s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\242f514497364054.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job 2a91dc9b4fda477b (status=processing, age=63317s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\2a91dc9b4fda477b.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job 92f67a072dd14006 (status=processing, age=62675s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\92f67a072dd14006.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job 18e7088c15974c04 (status=processing, age=62605s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\18e7088c15974c04.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job f8ed0b9c0cdd43d1 (status=processing, age=61826s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\f8ed0b9c0cdd43d1.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job eb9cc6dfbe8848cb (status=processing, age=4349s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\eb9cc6dfbe8848cb.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:96 |   stale analysis job 14445ca37d06484a (status=processing, age=1854s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\14445ca37d06484a.mov)
2026-06-10 13:37:49 | INFO     | backend.main | main.py:118 | Export store: no stale jobs.
2026-06-10 13:37:49 | INFO     | backend.main | main.py:121 | Startup recovery scan complete.
2026-06-10 13:44:33 | INFO     | backend.routers.analysis | analysis.py:55 | Analysis thread started for 8a61da8b6e574a86 (type=vlog)
2026-06-10 13:44:34 | INFO     | pyscenedetect | scene_manager.py:547 | Detecting scenes...
2026-06-10 14:08:01 | WARNING  | backend.middleware.error_handler | error_handler.py:183 | AppError code=NOT_FOUND status=404 recoverable=False: No analysis job found for status
2026-06-10 14:16:06 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 14:17:53 | INFO     | backend.routers.analysis | analysis.py:55 | Analysis thread started for 83dc7f2c8b4b4931 (type=commercial)
2026-06-10 14:17:54 | INFO     | pyscenedetect | scene_manager.py:547 | Detecting scenes...
2026-06-10 14:18:02 | WARNING  | understanding.signal.vad_detect | vad_detect.py:58 | silero-vad load failed (EOF when reading a line) — gate disabled
